,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
CHCHD6,250.832854714254,1.237042451728,0.116993458196558,10.5736036082435,3.9501794648618e-26,3.52443461752703e-25,up
SGCG,234.477429983515,1.27370849353875,0.120710232261931,10.5517856247257,4.98407490398003e-26,4.43363382025189e-25,up
CLIP3,214.358610525598,-1.33638507607137,0.126674505659944,-10.5497556048008,5.09293955025057e-26,4.52709954507743e-25,down
INSIG2,222.028166770022,-1.31692908049654,0.124986378119325,-10.5365808683508,5.85904550401151e-26,5.18490755321612e-25,down
ARHGAP33,135.401530500063,-1.59967008706806,0.15227625232232,-10.5050529066218,8.18768741369875e-26,7.19756250243275e-25,down
ALKBH8,296.178583413804,1.10726861363567,0.105589332536799,10.4865575625244,9.95909850501056e-26,8.71622054778217e-25,up
BLM,340.271500637414,-1.02790884646036,0.0983121275676729,-10.4555650649794,1.38172670114495e-25,1.20223324711584e-24,down
ITPR2,219.504342661447,1.25568441938379,0.120229991556177,10.4440198583651,1.56059073014898e-25,1.35588396357955e-24,up
TP53I11,133.322013394828,-1.60926387983348,0.154156517987693,-10.4391556117138,1.64265289835771e-25,1.42510592178248e-24,down
MOSPD1,338.301768406098,1.01866663016504,0.0981632407222194,10.3772718042964,3.14638166178809e-25,2.69441398732736e-24,up
PODXL2,243.628719132478,-1.19839480285516,0.115882256495334,-10.3414866011296,4.57386424524755e-25,3.89725904153986e-24,down
THRA,302.259515327161,-1.05556013433338,0.102564744224138,-10.2916469232998,7.68505113877516e-25,6.49716336176108e-24,down
PLPPR2,294.860913289192,-1.0663346875961,0.103732463183655,-10.2796622664612,8.70320371330608e-25,7.32678314015725e-24,down
MFSD13A,129.406718272303,-1.59849048178865,0.155565887486927,-10.2753277573335,9.10344772303276e-25,7.64215537565501e-24,down
HERC3,182.949215725289,-1.3852053900803,0.135061518774854,-10.2561070143852,1.11095632951871e-24,9.27403642745186e-24,down
RHPN2,239.300650817012,-1.15439854937979,0.112585235962838,-10.2535518046152,1.14073077313512e-24,9.51592824666352e-24,down
MZT1,412.911781808354,-1.01148938076296,0.0988417770103622,-10.2334196263683,1.40469800923938e-24,1.16852458523128e-23,down
CENPH,267.96713829742,-1.09234260686129,0.10709475483613,-10.1997769034789,1.9872846391365e-24,1.64057567199027e-23,down
GGT1,264.288549496933,-1.10037301286295,0.107967563485601,-10.1916999637553,2.15954424248205e-24,1.77977993807742e-23,down
CHAF1B,286.18648084952,-1.08496966741929,0.10685146873183,-10.1539986328339,3.18058405701184e-24,2.59693273210775e-23,down
PCDHGB2,162.667346628454,-1.39947299862775,0.138032389890192,-10.1387290312155,3.71906689714253e-24,3.02418193701522e-23,down
PDZD7,203.61790178157,-1.25131361228251,0.123558203036247,-10.1273212262194,4.17942321641913e-24,3.3915877243989e-23,down
SPTBN4,219.046009835445,-1.203187410546,0.119594576203793,-10.0605516465541,8.25345655122247e-24,6.59447308771151e-23,down
DCAF4,95.2577766316815,1.97234786546579,0.196400588592684,10.0424743102794,9.91551974271903e-24,7.86451030657549e-23,up
ERCC6L,244.37340481508,-1.14605308729079,0.114209672247025,-10.0346412413476,1.07348925738663e-23,8.50308987474443e-23,down
CIB2,202.631446385782,-1.22045148130305,0.121914797274962,-10.010691963425,1.36792378629377e-23,1.07994459607534e-22,down
TEC,285.515445642268,-1.05236332823149,0.105488444408417,-9.97610054952641,1.93939323319832e-23,1.51804605504086e-22,down
GFPT2,197.24873263589,-1.23301701159589,0.123846380057242,-9.95601979667057,2.37376521720778e-23,1.85318359136594e-22,down
SYNJ1,192.880029793182,-1.36421782820418,0.137195581551989,-9.94359885917475,2.68931813493227e-23,2.09678928311157e-22,down
DNAAF3,172.244106153574,-1.3528238882776,0.136116802991293,-9.93869866576386,2.8249329976123e-23,2.19964919898937e-22,down
ITPKB,178.08455063638,-1.35747283374009,0.136609828399251,-9.93686069038011,2.87752750607212e-23,2.23914061447712e-22,down
C1orf226,50.3786646481592,3.75979749338879,0.378912445741934,9.92260226772671,3.31985766709309e-23,2.57661562203991e-22,up
FCHSD1,270.900248836095,-1.07800814710142,0.108741612782007,-9.9134831599609,3.63739311621268e-23,2.81756249891565e-22,down
LIMD2,236.839472402062,-1.12272995748323,0.113927783757815,-9.8547511454265,6.53784491187841e-23,4.98656981801775e-22,down
ZDHHC12,161.376962314786,-1.37284802168506,0.139461389928875,-9.84392900705498,7.28105456587969e-23,5.53221018575661e-22,down
PDLIM2,209.941728699426,-1.26803432735228,0.128828253055377,-9.84282793004434,7.36120534454224e-23,5.58599354675855e-22,down
LTB4R,267.733835710783,1.06317911662576,0.108370017505021,9.81063896733702,1.01324903205625e-22,7.65003019202466e-22,up
HAUS8,250.276558758724,-1.07682234631372,0.109914427427278,-9.79691539608095,1.16076233155099e-22,8.71411822093883e-22,down
ESPN,158.502273599209,-1.3628435143196,0.140060088681864,-9.73042018711833,2.23667118097291e-22,1.65413828380817e-21,down
MAK16,1015.46296416075,1.18629187337255,0.122247400187314,9.70402537440348,2.89832952449272e-22,2.1302632715757e-21,up
IFI6,119.064063158916,-1.67846580195865,0.174541740429968,-9.61641494936342,6.81656095243331e-22,4.93714363093971e-21,down
NGEF,178.811641563618,-1.28154426432679,0.133423908932191,-9.60505710395653,7.61157277144308e-22,5.49627430935499e-21,down
HRC,263.28916985707,-1.03061818005483,0.107574705798204,-9.58048801907144,9.65874587269312e-22,6.94509822274601e-21,down
TBX4,182.561096712324,1.26716509517298,0.13247293255757,9.56546420999848,1.11699066710216e-21,8.01719715274469e-21,up
CRPPA,146.832557072297,1.43489789343645,0.150357527330604,9.54323949662599,1.38438867802733e-21,9.88292791154277e-21,up
TMEM14A,157.548474028134,-1.33990246131654,0.141445662054382,-9.47291307386571,2.72146112938921e-21,1.91529851401085e-20,down
HCN4,135.913555363682,1.52390244447718,0.160896683404678,9.47131048465648,2.76354543538827e-21,1.94376966384119e-20,up
PCDHB14,165.675206820491,-1.27508703021624,0.135505766787993,-9.40983590913281,4.96912058811415e-21,3.45233776910971e-20,down
BCAS4,289.660399923468,-1.07689173975826,0.114681899497373,-9.39025028777904,5.98578468597669e-21,4.14419184672176e-20,down
CASP7,258.665493773465,-1.09037195735902,0.116486770371631,-9.36047891001166,7.93760820153004e-21,5.45750595020472e-20,down
RNF24,195.776420206751,-1.17145354584846,0.12549591313065,-9.3345951802342,1.01377910640703e-20,6.93825069439441e-20,down
ITPR3,206.023609799417,-1.13423215522738,0.121703342695092,-9.31964669260578,1.16728342466424e-20,7.96142022459672e-20,down
PLEKHA2,165.919238692715,-1.31106407933816,0.140713346147482,-9.31726886775923,1.19373429777351e-20,8.13717510750868e-20,down
PLAUR,138.82850465717,-1.50192908908821,0.16159684123467,-9.29429732421017,1.48181725817479e-20,1.00778780346449e-19,down
LTO1,246.054745868844,1.04322914866966,0.113026579669677,9.22994530771897,2.70770122040792e-20,1.81563619214424e-19,up
GPRIN1,113.895316566827,-1.52971721564824,0.166280426792608,-9.1996228609406,3.59208261011537e-20,2.38585486949144e-19,down
FGD6,222.616486012337,-1.09305391512374,0.118869188850055,-9.19543513081883,3.73479917862413e-20,2.47651025023943e-19,down
CENPI,174.370305830813,-1.20583666675671,0.131857933361513,-9.14496864933174,5.96471619903418e-20,3.90736406031185e-19,down
RAB3D,234.958887255525,-1.12664216232459,0.12324365416232,-9.14158355642989,6.15444246892777e-20,4.02501887126312e-19,down
RPS6KL1,106.890654663327,1.6332861842366,0.178890654697429,9.13008109338688,6.84480034292057e-20,4.46671899839713e-19,up
TUBBP5,103.560136088905,-1.57963137511196,0.173306053087698,-9.11469245862181,7.88939124524366e-20,5.13714782557378e-19,down
CABP1,93.1229793079729,-1.70097020567905,0.186994027807145,-9.09638786663997,9.33860274409766e-20,6.05106964336453e-19,down
HROB,158.306805659497,-1.31115385640879,0.144211409105862,-9.09188714359147,9.7334697624819e-20,6.30008468782673e-19,down
USP32P3,116.37964072189,-1.47653472053756,0.162434615318807,-9.09002503954959,9.90162507427849e-20,6.40544932272604e-19,down
GSG1,245.432822024803,-1.02335593724022,0.112917249013233,-9.06288406937974,1.270460331584e-19,8.19649610355088e-19,down
PARVA,262.040162587103,1.06426410341255,0.117449771850261,9.06144036422139,1.28739145030563e-19,8.3012392490248e-19,up
LOC730101,121.925021746919,-1.434912641256,0.15848708709233,-9.05381421023948,1.38059626723224e-19,8.88782130157224e-19,down
OGFRL1,93.6425510632525,1.73353267228512,0.19148218725494,9.05323203759468,1.38797939854168e-19,8.93053195534178e-19,up
AOC2,88.9381427048918,1.78441813436825,0.197576303772879,9.03153920937553,1.69273839639421e-19,1.08213699520828e-18,up
QRICH2,192.693158087983,1.23591586729047,0.137672244381604,8.97723337657465,2.77660505701526e-19,1.75621005965721e-18,up
ZNF202,239.532615641681,1.03199603806952,0.115070307277635,8.96839560512845,3.0086471907586e-19,1.89894985918303e-18,up
PDCL3,191.397144164706,1.14375240890337,0.127628901569856,8.96154706994284,3.20154484651174e-19,2.0153682572052e-18,up
SLFNL1,87.6676962508082,1.77670583795021,0.198523627202222,8.94959387448833,3.56792603254876e-19,2.23538811146398e-18,up
AGFG2,227.354362631576,-1.08342063471756,0.121207556636704,-8.93855684233371,3.94285647028097e-19,2.46253061958019e-18,down
CCDC113,188.056864815938,1.27725925230466,0.143106671623647,8.92522506332683,4.4479387459953e-19,2.76783835685853e-18,up
ARHGAP23,260.675714587596,1.00747465096894,0.113156653496626,8.90336201926459,5.41801111314297e-19,3.35051604814321e-18,up
S1PR5,92.11090648072,-1.69535634414567,0.191266809228305,-8.86382928112746,7.73121100853744e-19,4.74655770050659e-18,down
PINCR,204.995867174522,-1.09096375143273,0.123085682075375,-8.86344969648578,7.75759073330432e-19,4.76030349061663e-18,down
ATG16L2,208.137999997964,-1.07286233046665,0.121748322763965,-8.81213232437397,1.22787564331031e-18,7.45790659320196e-18,down
CARD10,129.029741017341,-1.34259371988014,0.152740597409839,-8.79002532822126,1.49526253151952e-18,9.03138569037788e-18,down
MIR22HG,183.861214308933,1.15965043160522,0.132099845222209,8.77859038861505,1.65536219446016e-18,9.99332774175872e-18,up
C12orf66,236.908725814035,1.00336902794755,0.11461484335043,8.7542677598903,2.05432852508404e-18,1.23580862207401e-17,up
STAMBPL1,84.577034210811,1.77365720133819,0.203231098991498,8.72729228026461,2.60842341824434e-18,1.55501663949209e-17,up
ARHGAP9,60.036283047033,2.22263751161501,0.254694625849359,8.72667612912103,2.62266764768394e-18,1.56272739107002e-17,up
FAM86EP,79.406934887662,1.86386108219339,0.213672968857693,8.722961505883,2.71018429837131e-18,1.61326289896563e-17,up
ELAPOR2,82.7955889553585,1.8543752458361,0.212697190579514,8.7183814736042,2.82206759639825e-18,1.67484797798182e-17,up
BDH2,170.636606678549,-1.16903422897481,0.134337614995541,-8.70221068770362,3.2548059543271e-18,1.92783417225263e-17,down
GPR162,178.465630979854,-1.17221106662622,0.134706097162932,-8.70198967466473,3.26115264239002e-18,1.93063473305561e-17,down
ABCB9,166.270047276158,-1.19579324266092,0.137799289448712,-8.6777896130298,4.0353463073072e-18,2.37951784972158e-17,down
SLC29A4,144.548746586998,-1.24762057558493,0.143785643826173,-8.67694814576354,4.06530348684421e-18,2.39481507627479e-17,down
SYNGR3,98.8428838461285,-1.55742074078286,0.179755229513715,-8.66411923033389,4.55016987693076e-18,2.67120947155055e-17,down
LMTK3,182.47755064069,-1.20042541748185,0.1389088862934,-8.64181874546411,5.53251514862886e-18,3.22883430567484e-17,down
ARRB1,188.087427665476,-1.07831806269041,0.1248901128034,-8.63413474842385,5.91732146648847e-18,3.4466663952022e-17,down
IDNK,174.726878414123,1.20323722603067,0.139396707578842,8.63174781477624,6.04214858648486e-18,3.51594099942331e-17,up
CEP72,217.354757015444,-1.02682898456569,0.118962397849697,-8.63154242959224,6.05301007725024e-18,3.52054398885997e-17,down
CLN3,187.565903585106,-1.08278971943685,0.126302453693388,-8.57299037171073,1.00831937377567e-17,5.81917842756165e-17,down
EEF1A2,110.408136052352,-1.54149986004193,0.180021918301328,-8.56284542786451,1.10115519698547e-17,6.32435259741922e-17,down
MGP,60.2107143614829,-2.16261273242577,0.253154605483871,-8.54265609070088,1.31171339656089e-17,7.50836329538141e-17,down
GPR84,70.7649900452131,1.93099994491735,0.22701019866199,8.50622551893599,1.79687290032581e-17,1.01973819352934e-16,up
SUFU,209.475891807952,-1.00206878768916,0.11816168055223,-8.48048862377365,2.24250162152524e-17,1.26720994046303e-16,down
SLC9A5,114.167617213771,-1.38016889804034,0.163369940276891,-8.44812023375373,2.96030431154705e-17,1.66024777303455e-16,down
ZNF273,186.637266881646,-1.09621180209229,0.130898273877637,-8.37453214331168,5.5443688581679e-17,3.0690847382406e-16,down
CSRP2,98.1085838814493,-1.53786741463128,0.18386238136332,-8.36423091677678,6.0508311470914e-17,3.34013719359802e-16,down
ZNF204P,130.168789143188,-1.30470686857823,0.156065190999767,-8.36001199383517,6.27118806741751e-17,3.45857616533627e-16,down
PC,148.859418468653,-1.27987002665537,0.153143666501919,-8.35731608031814,6.41612242813781e-17,3.52871943039446e-16,down
B3GNT5,113.286591184581,1.42677257330313,0.170832003460203,8.35190446991107,6.71709811119323e-17,3.68914656392376e-16,up
CSRNP1,200.456547783593,-1.02569567396878,0.123303698793095,-8.3184501682298,8.91209546181745e-17,4.86110593342571e-16,down
POLE2,153.468332248095,-1.15744907242003,0.139150999829579,-8.31793572333352,8.95085288128772e-17,4.87778547377255e-16,down
TGFB3,121.073822291129,-1.33382608475576,0.16151236094748,-8.25835296401546,1.47696257364737e-16,7.94708459225955e-16,down
TMEM107,120.654417777238,-1.34762580288957,0.163240377931573,-8.25546853030732,1.51307490775301e-16,8.1340561399665e-16,down
GPR3,74.5112827343628,-1.77907644212121,0.215781118579348,-8.24481981479304,1.65409280643257e-16,8.872155165438e-16,down
