,NC1,NC2,NC3,PUS71,PUS72,PUS73
LRRC47,10.3946219036394,10.3422116946237,10.3294082480268,10.0523188757145,10.0349454945943,10.0620478420782
CEP104,9.43041775947784,9.4338400169588,9.43841050694096,9.22199665434896,9.20997034956107,9.23513887688885
DFFB,6.0685890834902,6.00672406942953,6.07292684049556,6.08647807210081,6.14124492805579,6.10179523034788
C1orf174,8.45957592798966,8.50464583000269,8.50141193716834,8.30731949876404,8.29951134877692,8.37837972782847
NPHP4,7.93842836782926,7.98572431755845,8.02868220060817,8.24989815061799,8.27775862229018,8.12606968164787
KCNAB2,6.96009819742082,6.94396017088413,6.85704272154265,7.14791558333518,7.06153210392409,7.14061955612589
RPL22,12.2202347859341,12.1800611467017,12.1992191047797,12.3491863015208,12.2858200236566,12.2821939287593
RNF207,6.47534845509531,6.45338858562937,6.48430294355089,6.96546783328058,6.88110511444192,6.77893536799422
ICMT,10.748762307798,10.8135916392883,10.7813142018197,10.8592799607994,10.8536276663453,10.8770505738405
GPR153,7.66743933546435,7.70300215970634,7.65219920470279,7.77781348398553,7.86972004894042,7.82816216171329
ACOT7,9.85915538147457,9.85691133404244,9.92215145238137,10.0070494523926,10.0134702419191,9.98873603032952
ESPN,6.97807272440998,6.97368293705967,6.90554414073655,7.50857564532482,7.47794287842148,7.44878528971522
TNFRSF25,5.84480337508887,5.85060510540771,5.85596820618568,6.1531841834583,5.96215812346293,6.06036443043512
PLEKHG5,7.79501124960361,7.70719574264947,7.8602422386324,8.31825410364191,8.3247193225437,8.31858224465466
NOL9,9.42803191523816,9.40987357871768,9.39206715148702,8.99068059617069,9.07667054762769,9.13936543763852
ZBTB48,8.02102406653898,8.04916767205157,8.05784106518945,7.95234002771147,7.97072044626995,7.97790665930326
KLHL21,9.12731417711059,9.1005166329765,9.08915720246122,8.91995581881376,8.91412491572464,8.95498858683245
PHF13,9.74518719356771,9.76181708505073,9.73657648643915,9.8515160362223,9.9112793146967,9.88113572369774
THAP3,7.76841386859644,7.71675485813114,7.7610745458123,7.69420642061286,7.78410450295244,7.78499867919812
DNAJC11,10.0532187873281,10.0537733606209,10.0704150229799,9.94409209299406,9.91063748198013,9.90406173484324
CAMTA1,9.11034044849239,8.94387085538475,8.95624300734651,8.99973890340822,8.95847350859145,8.92765355689339
VAMP3,9.7285791219091,9.7465163379965,9.70952142917691,9.87438338355477,9.88073427669217,9.88817266154842
PER3,9.03522348045441,9.08353488466556,9.03569399411265,8.89333925957063,8.89771869908498,8.91888201938727
PARK7,11.1236576460781,11.0953998523035,11.1053229349896,11.0734676769267,10.983382381938,10.983596166116
ERRFI1,8.20767509642852,8.19948633207393,8.19029321128104,7.93222906385482,7.97617744766949,7.87657701379192
