Geneid	WT1	WT2	WT3	WT4	KO1	KO2	KO3	KO4
ENSMUSG00000077038.1	0	0	0	0	0	0	0	0
ENSMUSG00000080653.1	0	0	0	0	0	0	0	0
ENSMUSG00000076126.1	0	0	0	0	0	0	0	0
ENSMUSG00000077131.1	0	0	0	0	0	0	0	0
ENSMUSG00000077834.1	0	0	0	0	0	0	0	0
ENSMUSG00000077998.1	0	0	0	0	0	0	0	0
ENSMUSG00000076959.1	0	0	0	0	0	0	0	0
ENSMUSG00000080504.1	0	0	0	0	0	0	0	0
ENSMUSG00000077981.1	0	0	0	0	0	0	0	0
ENSMUSG00000076983.2	0	0	0	0	0	0	0	0
ENSMUSG00000078026.1	0	0	0	0	1	2	0	0
ENSMUSG00000094165.1	0	0	0	0	0	0	0	0
ENSMUSG00000077049.2	0	0	0	0	0	0	0	0
ENSMUSG00000106608.1	0	0	0	0	0	0	0	0
ENSMUSG00000076028.1	0	0	0	0	0	0	0	0
ENSMUSG00000094297.1	0	0	0	0	0	0	0	0
ENSMUSG00000095843.1	0	0	0	0	0	0	0	0
ENSMUSG00000096624.1	0	0	0	0	0	0	0	0
ENSMUSG00000095269.1	0	0	0	0	0	0	0	0
ENSMUSG00000096583.1	0	0	0	0	0	0	0	0
ENSMUSG00000080459.1	0	0	0	0	0	0	0	0
ENSMUSG00000095938.1	0	0	0	0	0	0	0	0
ENSMUSG00000095340.1	0	0	0	0	0	0	0	0
ENSMUSG00000096027.1	0	0	0	0	0	0	0	0
ENSMUSG00000104933.1	0	0	0	0	0	0	0	0
ENSMUSG00000105546.1	0	0	0	0	0	0	0	0
ENSMUSG00000095336.1	0	0	0	0	0	0	0	0
ENSMUSG00000094190.1	0	0	0	0	0	0	0	0
ENSMUSG00000095509.1	0	0	0	0	0	0	0	0
ENSMUSG00000104561.1	0	0	0	0	0	0	0	0
ENSMUSG00000104734.1	0	0	0	0	0	0	0	0
ENSMUSG00000094927.1	0	0	0	0	0	0	0	0
ENSMUSG00000080405.1	0	0	0	0	0	0	0	0
ENSMUSG00000095198.1	0	0	0	0	0	0	0	0
ENSMUSG00000094659.1	0	0	0	0	0	0	0	0
ENSMUSG00000105330.1	0	0	0	0	0	0	0	0
ENSMUSG00000096264.1	0	0	0	0	0	0	0	0
ENSMUSG00000096651.1	0	0	0	0	0	0	0	0
ENSMUSG00000094101.1	0	0	0	0	0	0	0	0
ENSMUSG00000096492.1	0	0	0	0	0	0	0	0
ENSMUSG00000096239.1	0	0	0	0	0	0	0	0
ENSMUSG00000106027.1	0	0	0	0	0	0	0	0
ENSMUSG00000094363.1	0	0	0	0	0	0	0	0
ENSMUSG00000095884.1	0	0	0	0	0	0	0	0
ENSMUSG00000094506.1	0	0	0	0	0	0	0	0
ENSMUSG00000094159.1	0	0	0	0	0	0	0	0
ENSMUSG00000096113.1	0	0	0	0	0	0	0	0
ENSMUSG00000096134.1	0	0	0	0	0	0	0	0
ENSMUSG00000094009.1	0	0	0	0	0	0	0	0
ENSMUSG00000096782.1	0	0	0	0	0	0	0	0
ENSMUSG00000096835.1	0	0	0	0	0	0	0	0
ENSMUSG00000096587.1	0	0	0	0	0	0	0	0
ENSMUSG00000095536.1	0	0	0	0	0	0	0	0
ENSMUSG00000104652.1	0	0	0	0	0	0	0	0
ENSMUSG00000095786.1	0	0	0	0	0	0	0	0
ENSMUSG00000096748.1	0	0	0	0	0	0	0	0
ENSMUSG00000096880.1	0	0	0	0	0	0	0	0
ENSMUSG00000094688.1	0	0	0	0	0	0	0	0
ENSMUSG00000094261.1	0	0	0	0	0	0	0	0
ENSMUSG00000105182.1	0	0	0	0	0	0	0	0
ENSMUSG00000093995.1	0	0	0	0	0	0	0	0
ENSMUSG00000094709.1	0	0	0	0	0	0	0	0
ENSMUSG00000094067.1	0	0	0	0	0	0	0	0
ENSMUSG00000096512.1	0	0	0	0	0	0	0	0
ENSMUSG00000096360.1	0	0	0	0	0	0	0	0
ENSMUSG00000093900.1	0	0	0	0	0	0	0	0
ENSMUSG00000095151.1	0	0	0	0	0	0	0	0
ENSMUSG00000094457.1	0	0	0	0	0	0	0	0
ENSMUSG00000093914.1	0	0	0	0	0	0	0	0
ENSMUSG00000095222.1	0	0	0	0	0	0	0	0
ENSMUSG00000076966.2	0	0	0	0	0	0	0	0
ENSMUSG00000105365.1	0	0	0	0	0	0	0	0
ENSMUSG00000080649.1	0	0	0	0	0	0	0	0
ENSMUSG00000096889.1	0	0	0	0	0	0	0	0
ENSMUSG00000080476.1	0	0	0	0	0	0	0	0
ENSMUSG00000093907.1	0	0	0	0	0	0	0	0
ENSMUSG00000096053.1	0	0	0	0	0	0	0	0
ENSMUSG00000106488.1	0	0	0	0	0	0	0	0
ENSMUSG00000080684.1	0	0	0	0	0	0	0	0
ENSMUSG00000095051.1	0	0	0	0	0	0	0	0
ENSMUSG00000094943.1	0	0	0	0	0	0	0	0
ENSMUSG00000096894.1	0	0	0	0	0	0	0	0
ENSMUSG00000076994.2	0	0	0	0	0	0	0	0
ENSMUSG00000105783.1	0	0	0	0	0	0	0	0
ENSMUSG00000094327.1	0	0	0	0	0	0	0	0
ENSMUSG00000076948.2	0	0	0	0	0	0	0	0
ENSMUSG00000077113.2	0	0	0	0	0	0	0	0
ENSMUSG00000094330.1	0	0	0	0	0	0	0	0
ENSMUSG00000080624.1	0	0	0	0	0	0	0	0
ENSMUSG00000077021.2	0	0	0	0	0	0	0	0
ENSMUSG00000070099.1	0	0	0	0	0	0	0	0
ENSMUSG00000080558.1	0	0	0	0	0	0	0	0
ENSMUSG00000076976.2	0	0	0	0	0	0	0	0
ENSMUSG00000076118.1	0	0	0	0	0	0	0	0
ENSMUSG00000077095.1	0	0	0	0	0	0	0	0
ENSMUSG00000077104.1	0	0	0	0	0	0	0	0
ENSMUSG00000076014.1	0	0	0	0	0	0	0	0
ENSMUSG00000092961.1	0	0	0	0	0	0	0	0
ENSMUSG00000092697.1	0	0	0	0	0	0	0	0
ENSMUSG00000088833.1	0	0	0	0	0	0	0	0
ENSMUSG00000076222.1	0	0	0	0	0	0	0	0
ENSMUSG00000078031.1	0	0	0	0	0	0	0	0
ENSMUSG00000095699.1	0	0	0	0	0	0	0	0
ENSMUSG00000089570.1	0	0	0	0	0	0	0	0
ENSMUSG00000088980.1	0	0	0	0	0	0	0	0
ENSMUSG00000077991.1	0	0	0	0	0	0	0	0
ENSMUSG00000077086.1	0	0	0	0	0	0	0	0
ENSMUSG00000078025.1	0	0	0	0	0	0	0	0
ENSMUSG00000077941.1	0	0	0	0	0	0	0	0
ENSMUSG00000076956.2	0	0	0	0	0	0	0	0
ENSMUSG00000078060.1	0	0	0	0	0	0	0	0
ENSMUSG00000077954.1	0	0	0	0	0	0	0	0
ENSMUSG00000080686.1	0	0	0	0	0	0	0	0
ENSMUSG00000080657.1	0	0	0	0	0	0	0	0
ENSMUSG00000080594.1	0	0	0	0	0	0	0	0
ENSMUSG00000103237.1	0	0	0	0	0	0	0	0
ENSMUSG00000081367.2	0	0	0	0	0	0	0	0
ENSMUSG00000082871.2	0	0	0	0	0	0	0	0
ENSMUSG00000102734.1	0	0	0	0	0	0	0	0
ENSMUSG00000089007.1	0	0	0	0	0	0	0	0
ENSMUSG00000085257.2	0	0	0	0	0	0	0	0
ENSMUSG00000084560.1	0	0	0	0	0	0	0	0
ENSMUSG00000081693.2	0	0	0	0	0	0	0	0
ENSMUSG00000083900.2	0	0	0	4	7	4	0	0
ENSMUSG00000026778.13	267	978	594	192	18	170	155	178
ENSMUSG00000103774.1	0	0	0	0	27	0	0	0
ENSMUSG00000103253.1	0	0	0	0	12	0	0	0
ENSMUSG00000102992.1	0	0	0	0	0	0	0	0
ENSMUSG00000102196.1	0	0	0	0	0	0	0	0
ENSMUSG00000102894.1	0	0	0	0	0	0	0	0
ENSMUSG00000102674.1	0	0	0	0	0	0	0	0
ENSMUSG00000086006.2	0	0	0	0	0	0	0	0
ENSMUSG00000103223.1	0	0	0	0	0	0	0	0
ENSMUSG00000103321.1	0	0	0	0	0	0	0	0
ENSMUSG00000086491.1	0	0	0	0	0	0	0	0
ENSMUSG00000082424.4	5	12	15	7	19	5	10	27
ENSMUSG00000082314.2	0	0	0	0	0	0	0	0
ENSMUSG00000026773.19	0	0	54	18	13	4	6	38
ENSMUSG00000102329.1	0	0	0	0	0	20	1	116
ENSMUSG00000102376.1	0	0	0	0	0	0	0	0
ENSMUSG00000037197.11	507	470	1003	304	812	464	1048	1162
ENSMUSG00000082727.2	0	0	0	0	0	0	0	0
ENSMUSG00000091312.1	0	0	0	0	0	0	0	0
ENSMUSG00000026770.5	0	0	1	0	0	0	28	9
ENSMUSG00000104101.1	0	0	0	0	0	0	14	2
ENSMUSG00000023206.16	135	3	505	439	212	8	212	435
ENSMUSG00000058594.15	77	336	313	343	265	87	175	251
ENSMUSG00000047909.11	273	614	96	253	59	167	73	361
ENSMUSG00000103542.1	0	0	0	0	0	0	0	0
ENSMUSG00000080801.2	7	1	6	12	6	5	9	16
ENSMUSG00000026768.10	0	0	0	0	0	0	0	0
ENSMUSG00000104174.1	0	0	0	0	0	0	0	0
ENSMUSG00000086843.3	0	0	0	0	0	0	0	0
ENSMUSG00000026767.12	83	11	206	16	0	16	80	90
ENSMUSG00000102630.1	0	0	0	0	0	0	29	1
ENSMUSG00000104449.1	0	0	0	9	0	0	0	22
ENSMUSG00000104406.1	0	0	0	0	0	0	0	26
ENSMUSG00000083547.2	0	0	0	0	0	0	0	0
ENSMUSG00000104045.1	0	0	0	0	0	0	0	0
ENSMUSG00000026730.12	41	1	128	3	28	48	120	232
ENSMUSG00000049630.6	1	0	0	12	0	0	0	0
ENSMUSG00000104459.1	0	0	0	6	0	0	0	0
ENSMUSG00000102900.1	0	0	0	0	0	0	0	0
ENSMUSG00000103599.1	0	0	0	0	0	0	0	0
ENSMUSG00000103143.1	0	0	0	1	0	0	0	0
ENSMUSG00000026727.10	394	487	1432	306	563	589	853	1039
ENSMUSG00000103360.1	0	0	0	0	0	18	1	0
ENSMUSG00000102691.1	54	2	100	32	126	13	73	34
ENSMUSG00000099246.1	0	0	0	0	0	0	0	0
ENSMUSG00000103232.1	0	0	0	0	0	0	0	0
ENSMUSG00000086358.2	1	0	0	0	0	0	0	0
ENSMUSG00000026726.10	0	0	0	0	0	0	0	0
ENSMUSG00000026723.10	198	39	52	17	184	63	1	78
ENSMUSG00000026728.9	348	1624	616	202	400	632	537	1230
ENSMUSG00000003418.11	22	0	0	0	1	141	6	0
ENSMUSG00000104354.1	0	0	0	0	0	0	0	0
ENSMUSG00000063275.15	181	274	93	174	771	158	323	491
ENSMUSG00000102553.1	0	0	0	0	0	0	0	0
ENSMUSG00000103926.1	0	0	0	0	0	0	32	0
ENSMUSG00000086657.2	1	0	0	0	0	0	0	0
ENSMUSG00000026718.17	106	338	17	2	219	26	39	58
ENSMUSG00000103901.1	0	0	0	0	0	0	0	0
ENSMUSG00000061531.8	0	0	0	0	0	0	0	0
ENSMUSG00000083545.2	1	1	3	0	3	1	3	6
ENSMUSG00000026712.3	0	0	0	0	0	42	116	2
ENSMUSG00000077897.1	0	0	0	0	0	0	0	0
ENSMUSG00000103475.1	0	0	0	0	0	0	0	0
ENSMUSG00000036949.16	0	0	0	0	0	0	0	0
ENSMUSG00000084901.6	0	0	0	0	0	0	0	0
ENSMUSG00000057914.15	0	0	23	0	37	29	30	61
ENSMUSG00000075525.3	0	0	0	0	0	0	0	0
ENSMUSG00000104153.1	0	0	0	0	0	0	0	0
ENSMUSG00000070271.7	185	180	161	143	137	67	199	284
ENSMUSG00000083633.2	4	1	0	0	8	7	0	0
ENSMUSG00000104034.1	12	1	0	0	0	25	8	0
ENSMUSG00000081008.2	0	0	0	0	0	0	0	0
ENSMUSG00000082542.2	7	2	8	5	9	3	5	16
ENSMUSG00000104106.1	0	0	0	0	0	0	0	8
ENSMUSG00000103885.1	42	0	1	0	0	0	0	23
ENSMUSG00000083305.2	0	0	21	0	2	0	34	2
ENSMUSG00000103050.1	0	0	0	0	0	0	0	0
ENSMUSG00000087086.7	0	25	0	0	0	0	0	0
ENSMUSG00000085281.3	1	3	1	2	0	0	0	2
ENSMUSG00000102673.1	0	0	0	0	0	0	0	0
ENSMUSG00000104271.1	0	0	0	0	0	0	0	0
ENSMUSG00000026707.15	52	8	322	73	7	46	21	135
ENSMUSG00000103778.1	0	0	0	0	0	0	0	0
ENSMUSG00000017418.14	60	1	59	2	137	17	0	152
ENSMUSG00000102258.1	0	0	0	0	0	0	0	0
ENSMUSG00000083860.2	3	2	1	1	3	0	2	13
ENSMUSG00000080930.2	0	0	0	0	0	0	0	0
ENSMUSG00000083631.2	0	0	0	0	0	0	0	0
ENSMUSG00000082632.2	9	13	9	6	9	3	16	12
ENSMUSG00000081389.2	0	0	0	0	0	0	0	0
ENSMUSG00000075520.5	0	0	0	0	0	0	0	0
ENSMUSG00000103356.1	0	0	0	0	0	0	0	0
ENSMUSG00000081245.2	0	0	0	0	0	0	0	0
ENSMUSG00000103865.1	1	0	5	4	0	0	0	3
ENSMUSG00000026748.13	4	0	52	264	394	46	420	94
ENSMUSG00000076950.1	0	0	0	0	0	0	0	0
ENSMUSG00000082235.3	0	0	0	0	0	0	0	0
ENSMUSG00000081525.1	0	0	0	0	0	0	0	0
ENSMUSG00000085193.1	0	0	0	0	0	0	0	0
ENSMUSG00000053702.16	0	0	0	0	0	0	0	0
ENSMUSG00000085100.1	0	0	0	0	0	0	0	0
ENSMUSG00000099161.1	0	0	0	0	0	0	0	0
ENSMUSG00000081851.1	0	0	0	0	0	0	0	0
ENSMUSG00000062651.4	0	0	0	0	0	0	0	0
ENSMUSG00000081116.1	0	0	0	0	0	0	0	0
ENSMUSG00000054057.2	1	171	57	1	0	2	74	1
ENSMUSG00000085319.1	0	0	0	0	0	0	0	0
ENSMUSG00000054074.9	0	35	43	0	62	3	12	0
ENSMUSG00000086340.1	0	7	0	1	0	0	0	0
ENSMUSG00000026743.16	155	968	324	186	520	81	402	592
ENSMUSG00000099050.1	0	0	0	0	0	0	0	0
ENSMUSG00000092814.1	0	0	0	0	0	0	0	6
ENSMUSG00000064964.1	0	0	0	0	0	0	0	0
ENSMUSG00000081619.1	0	0	0	0	0	1	0	0
ENSMUSG00000026740.12	207	223	671	88	555	75	385	293
ENSMUSG00000083070.2	0	0	0	0	0	0	0	0
ENSMUSG00000082520.2	0	0	0	0	0	0	0	0
ENSMUSG00000081181.1	0	0	0	0	0	0	0	0
ENSMUSG00000082943.1	0	0	0	0	0	0	0	0
ENSMUSG00000086882.4	0	1	3	0	5	0	5	5
ENSMUSG00000051154.11	426	1015	797	376	1369	365	689	715
ENSMUSG00000026739.13	3	53	80	4	279	17	70	27
ENSMUSG00000037708.16	0	0	0	0	0	0	1	0
ENSMUSG00000092353.1	0	0	28	0	0	0	0	0
ENSMUSG00000081139.1	0	0	1	0	0	0	0	1
ENSMUSG00000097638.1	0	0	0	0	0	0	0	0
ENSMUSG00000026737.12	0	10	291	38	204	45	69	218
ENSMUSG00000026736.2	0	0	19	0	0	0	0	0
ENSMUSG00000083281.1	0	0	0	0	0	0	0	0
ENSMUSG00000037683.14	68	228	230	76	114	38	4	271
ENSMUSG00000087674.7	0	0	0	0	0	0	0	0
ENSMUSG00000023094.14	426	6	1023	18	172	226	322	679
ENSMUSG00000109733.1	0	0	0	0	0	0	0	0
ENSMUSG00000087103.1	0	0	0	0	0	0	0	0
ENSMUSG00000085388.1	0	0	0	0	0	0	0	0
ENSMUSG00000026735.2	0	0	0	0	0	0	0	0
ENSMUSG00000056329.3	0	0	0	0	0	0	0	0
ENSMUSG00000026734.9	0	0	0	0	0	0	0	0
ENSMUSG00000084160.1	0	0	0	0	0	0	0	0
ENSMUSG00000086621.1	0	0	0	0	0	0	0	0
ENSMUSG00000080227.2	0	0	0	0	0	0	0	0
ENSMUSG00000043415.5	22	0	0	2	0	11	20	0
ENSMUSG00000087246.1	0	0	0	0	0	0	0	0
ENSMUSG00000083893.1	0	0	0	0	0	0	0	0
ENSMUSG00000077342.1	0	0	0	0	0	0	0	0
ENSMUSG00000105927.1	0	0	0	0	0	0	0	0
ENSMUSG00000036617.17	0	0	163	0	0	0	0	0
ENSMUSG00000065644.1	0	0	0	0	0	0	0	0
ENSMUSG00000083777.1	0	1	0	0	0	0	0	0
ENSMUSG00000060795.5	6	0	7	0	8	0	11	15
ENSMUSG00000082164.1	0	0	0	0	0	0	0	0
ENSMUSG00000081128.1	0	39	7	7	14	6	24	10
ENSMUSG00000065253.1	0	0	0	0	0	0	0	0
ENSMUSG00000091457.1	0	0	0	0	0	0	0	0
ENSMUSG00000085477.7	0	0	0	0	0	0	0	0
ENSMUSG00000098575.1	0	0	0	0	0	0	0	0
ENSMUSG00000086418.1	0	0	0	0	0	0	0	0
ENSMUSG00000036591.16	3	1	415	126	230	5	18	258
ENSMUSG00000085206.1	0	0	0	0	0	0	0	0
ENSMUSG00000075514.4	0	0	0	0	3	0	0	10
ENSMUSG00000086821.3	0	0	0	0	0	0	0	0
ENSMUSG00000087219.1	0	0	0	0	0	0	0	0
ENSMUSG00000089472.1	0	0	0	0	0	0	0	0
ENSMUSG00000026679.3	42	0	1	0	0	21	9	51
ENSMUSG00000089576.1	0	0	0	0	0	0	0	0
ENSMUSG00000048550.17	0	0	5	1	0	1	0	77
ENSMUSG00000084071.1	0	0	4	0	0	0	0	0
ENSMUSG00000085680.1	0	0	0	0	0	0	0	0
ENSMUSG00000045967.11	0	0	0	0	0	0	0	0
ENSMUSG00000080846.1	0	0	0	0	0	0	0	0
ENSMUSG00000077572.1	0	0	0	0	0	0	0	0
ENSMUSG00000081467.1	0	0	4	3	2	5	8	10
ENSMUSG00000025716.14	0	0	0	0	0	0	0	0
ENSMUSG00000082516.1	20	39	33	18	33	3	16	31
ENSMUSG00000083863.1	20	93	87	23	85	26	37	106
ENSMUSG00000083563.1	208	562	444	213	487	135	340	688
ENSMUSG00000082884.1	0	0	0	0	1	0	0	0
ENSMUSG00000026787.3	0	0	0	0	0	1	0	0
ENSMUSG00000106199.1	0	0	0	0	0	0	0	0
ENSMUSG00000092811.1	0	0	0	0	0	0	0	0
ENSMUSG00000083453.1	0	0	0	0	0	0	0	0
ENSMUSG00000085353.2	0	0	0	0	0	0	0	0
ENSMUSG00000083057.1	0	0	0	0	0	0	0	0
ENSMUSG00000026786.14	96	303	244	158	148	48	210	32
ENSMUSG00000069136.4	0	0	25	0	0	0	0	1
ENSMUSG00000026784.14	50	1	196	221	54	63	78	257
ENSMUSG00000084625.1	0	0	0	0	0	0	0	0
ENSMUSG00000081861.1	2	0	0	0	0	0	0	0
ENSMUSG00000058835.14	96	3	289	123	1	37	213	102
ENSMUSG00000083650.1	0	0	0	0	0	0	48	2
ENSMUSG00000026781.17	2	0	165	2	0	32	57	169
ENSMUSG00000026779.6	1	251	43	0	69	58	3	7
ENSMUSG00000026775.9	220	183	648	292	568	167	52	502
ENSMUSG00000081648.1	1	0	0	0	45	18	0	0
ENSMUSG00000026774.11	0	0	0	0	0	0	0	0
ENSMUSG00000084098.1	6	5	19	9	23	15	30	26
ENSMUSG00000069132.3	0	0	0	0	0	0	0	0
ENSMUSG00000102704.1	0	0	0	0	0	6	14	20
ENSMUSG00000026771.14	28	231	21	1	239	19	12	88
ENSMUSG00000081519.1	0	0	0	0	0	0	0	0
ENSMUSG00000083729.1	0	0	0	0	0	0	0	0
ENSMUSG00000088368.1	0	0	0	0	0	0	0	0
ENSMUSG00000083373.1	0	3	1	3	1	2	1	0
ENSMUSG00000026986.14	3	262	119	3	0	57	2	167
ENSMUSG00000061809.8	0	0	0	0	0	0	0	0
ENSMUSG00000026985.1	0	0	0	0	0	0	0	0
ENSMUSG00000083116.1	1	0	0	0	0	1	0	1
ENSMUSG00000044103.4	0	0	0	0	0	0	0	0
ENSMUSG00000026984.4	0	0	0	0	0	0	0	0
ENSMUSG00000104173.1	0	0	0	0	0	0	0	0
ENSMUSG00000083172.1	0	0	0	0	0	0	0	0
ENSMUSG00000026983.10	0	0	0	0	0	0	0	0
ENSMUSG00000046845.1	0	0	0	0	0	0	0	0
ENSMUSG00000085999.1	0	0	0	0	0	0	0	0
ENSMUSG00000026981.15	0	0	0	0	0	0	0	0
ENSMUSG00000026979.16	8	245	971	21	733	128	787	551
ENSMUSG00000026976.15	0	0	0	0	0	0	0	0
ENSMUSG00000085057.7	0	0	0	0	0	0	0	0
ENSMUSG00000099120.1	0	0	0	0	0	0	0	0
ENSMUSG00000082307.3	0	0	0	0	1	0	0	1
ENSMUSG00000085330.1	0	0	0	0	0	0	0	0
ENSMUSG00000102591.1	0	1	1	0	0	0	110	1
ENSMUSG00000084241.1	0	0	0	3	0	0	0	0
ENSMUSG00000088571.1	0	0	0	0	0	0	0	0
ENSMUSG00000004113.18	0	0	0	0	0	0	0	0
ENSMUSG00000083973.1	0	0	0	0	0	0	0	0
ENSMUSG00000036893.17	13	73	862	185	226	89	372	600
ENSMUSG00000103162.1	0	0	0	31	0	0	0	0
ENSMUSG00000102875.1	0	0	0	0	0	0	0	0
ENSMUSG00000026972.15	1265	278	1673	653	1032	330	1150	994
ENSMUSG00000093190.1	0	0	0	0	0	0	0	0
ENSMUSG00000026974.11	52	2	43	145	55	24	147	366
ENSMUSG00000026975.10	155	2	376	37	96	1	199	404
ENSMUSG00000036850.4	180	401	359	160	1002	208	579	1199
ENSMUSG00000036833.16	394	226	270	164	279	131	406	765
ENSMUSG00000084383.1	11	59	7	10	27	1	16	6
ENSMUSG00000083796.3	36	228	97	62	116	17	3	66
ENSMUSG00000065798.1	0	0	0	0	0	0	0	0
ENSMUSG00000089513.1	0	0	0	0	0	0	0	0
ENSMUSG00000006476.19	374	70	179	6	0	1	118	334
ENSMUSG00000092845.1	0	0	0	0	0	0	0	0
ENSMUSG00000099320.1	0	0	0	0	0	0	0	0
ENSMUSG00000036813.11	0	0	0	0	0	0	0	0
ENSMUSG00000036805.13	23	0	0	0	0	0	0	151
ENSMUSG00000118563.1	0	0	0	0	0	0	0	0
ENSMUSG00000087028.7	0	0	1	0	0	0	0	0
ENSMUSG00000078202.3	0	0	0	0	0	0	0	0
ENSMUSG00000103217.1	0	0	0	0	0	0	0	0
ENSMUSG00000059555.6	331	441	17	189	419	83	500	992
ENSMUSG00000013465.19	526	796	591	462	344	330	1296	156
ENSMUSG00000064919.1	0	0	0	0	0	0	0	0
ENSMUSG00000036770.11	0	0	0	0	0	0	0	0
ENSMUSG00000026969.3	0	0	0	0	0	0	0	0
ENSMUSG00000036752.4	1990	584	2071	1869	3847	1749	3242	4332
ENSMUSG00000006469.13	0	0	0	0	0	0	0	0
ENSMUSG00000089953.3	0	0	0	0	0	0	0	0
ENSMUSG00000036731.7	0	0	0	0	0	0	0	0
ENSMUSG00000044628.5	0	0	2	0	0	0	0	0
ENSMUSG00000115018.2	0	0	0	0	0	0	0	0
ENSMUSG00000006471.18	9	0	64	1	0	26	4	124
ENSMUSG00000115074.1	0	0	0	0	0	0	0	0
ENSMUSG00000078201.5	56	65	36	12	1	2	14	1
ENSMUSG00000048707.9	2	256	97	200	0	1	0	2
ENSMUSG00000026966.6	1657	2418	1417	872	2255	727	2015	2123
ENSMUSG00000026965.12	810	710	359	43	142	375	1020	586
ENSMUSG00000026963.4	0	0	0	0	0	0	0	0
ENSMUSG00000026961.6	0	0	0	0	0	0	0	0
ENSMUSG00000026959.13	0	0	0	0	0	0	0	0
ENSMUSG00000085830.1	0	0	0	0	0	0	0	0
ENSMUSG00000036646.13	23	156	92	57	102	95	97	297
ENSMUSG00000088171.1	0	0	0	0	0	0	0	0
ENSMUSG00000026958.13	3	3	2	239	39	66	34	453
ENSMUSG00000026956.15	349	333	320	255	358	307	485	282
ENSMUSG00000026955.13	192	2	4	470	368	124	369	591
ENSMUSG00000015085.8	0	0	0	0	0	0	0	0
ENSMUSG00000015094.16	170	469	182	1	339	120	245	364
ENSMUSG00000036587.13	2	0	177	1	1	1	1	56
ENSMUSG00000026944.18	272	716	712	438	2	309	236	337
ENSMUSG00000104741.1	0	0	0	0	0	0	0	0
ENSMUSG00000047617.11	38	743	546	246	412	237	409	464
ENSMUSG00000015093.15	0	0	0	0	0	0	0	0
ENSMUSG00000015090.13	0	0	80	0	9	0	0	0
ENSMUSG00000026943.12	0	0	0	0	0	0	0	0
ENSMUSG00000015083.11	5	0	148	16	235	0	0	0
ENSMUSG00000015095.12	344	295	312	600	613	163	590	608
ENSMUSG00000026942.13	166	967	19	122	903	146	383	630
ENSMUSG00000083043.1	0	2	1	0	0	0	0	0
ENSMUSG00000083528.1	0	0	0	0	0	0	0	0
ENSMUSG00000015092.9	574	1080	1143	572	2470	941	1657	2740
ENSMUSG00000026941.16	1	0	17	27	0	0	1	35
ENSMUSG00000036504.6	7	6	8	16	11	16	31	15
ENSMUSG00000029419.8	0	0	0	1	0	0	0	0
ENSMUSG00000015087.14	559	579	414	230	1096	244	568	649
ENSMUSG00000052403.11	0	0	0	0	0	5	10	1
ENSMUSG00000026940.3	0	0	0	0	1	0	35	0
ENSMUSG00000026939.12	32	2	12	1	458	7	117	337
ENSMUSG00000026938.10	145	45	0	1	184	2	1	0
ENSMUSG00000118473.1	0	0	0	0	0	0	0	0
ENSMUSG00000036449.6	0	0	0	0	0	0	0	0
ENSMUSG00000026937.12	0	0	0	0	0	0	0	0
ENSMUSG00000045684.10	0	0	0	0	0	0	0	0
ENSMUSG00000047356.2	0	0	0	0	0	0	0	0
ENSMUSG00000062061.3	0	0	0	0	0	0	0	0
ENSMUSG00000087612.1	0	0	0	0	0	0	0	0
ENSMUSG00000049086.8	17	149	108	43	38	30	85	62
ENSMUSG00000079539.2	0	0	0	0	0	0	0	0
ENSMUSG00000026936.4	0	0	0	0	0	0	0	0
ENSMUSG00000069080.5	0	0	0	0	0	0	0	0
ENSMUSG00000085484.2	0	0	0	0	0	0	0	0
ENSMUSG00000090073.1	0	0	0	0	0	0	0	0
ENSMUSG00000036401.5	0	0	0	0	0	0	0	0
ENSMUSG00000023210.2	0	0	0	0	0	0	0	0
ENSMUSG00000059625.6	0	0	0	0	0	0	0	0
ENSMUSG00000058740.14	0	0	0	0	0	0	0	0
ENSMUSG00000026933.17	3	96	207	112	214	53	58	403
ENSMUSG00000082357.1	0	0	0	0	0	0	0	0
ENSMUSG00000036352.16	423	33	236	293	657	78	1300	181
ENSMUSG00000026932.14	0	0	6	0	0	0	0	3
ENSMUSG00000087515.1	0	0	0	0	0	0	0	0
ENSMUSG00000087679.2	1134	497	1634	693	1588	402	1100	1175
ENSMUSG00000087595.1	5	0	0	0	0	0	0	0
ENSMUSG00000085545.1	0	0	0	0	0	0	0	0
ENSMUSG00000026934.15	0	0	0	0	0	0	0	0
ENSMUSG00000098977.1	0	0	0	0	0	0	0	0
ENSMUSG00000036327.18	3	325	168	4	526	8	120	214
ENSMUSG00000048038.8	0	201	251	5	0	0	1	0
ENSMUSG00000026930.15	150	69	91	1	0	71	11	3
ENSMUSG00000075467.4	156	671	129	36	675	179	562	570
ENSMUSG00000026928.14	0	0	0	0	0	0	0	5
ENSMUSG00000086779.1	2	0	1	17	0	0	0	94
ENSMUSG00000036281.13	6	4	0	292	3	2	4	404
ENSMUSG00000085767.1	0	0	0	2	3	6	8	31
ENSMUSG00000026927.17	101	4	130	181	643	260	603	538
ENSMUSG00000026926.14	657	1524	1060	48	630	567	837	492
ENSMUSG00000026925.16	356	3	648	108	787	54	5	376
ENSMUSG00000026924.17	362	5	327	69	332	69	99	395
ENSMUSG00000086714.1	62	1	0	0	12	0	0	0
ENSMUSG00000085543.1	0	0	0	0	0	0	0	0
ENSMUSG00000026923.15	39	0	7	42	103	160	4	10
