Geneid	WT1	WT2	WT3	WT4	KO1	KO2	KO3	KO4
ENSMUSG00000067879.3	0	0	0	0	0	0	0	0
ENSMUSG00000099827.1	0	0	0	0	0	0	0	0
ENSMUSG00000025912.16	0	0	0	4	0	3	0	4
ENSMUSG00000045210.8	2	7	392	16	141	180	205	168
ENSMUSG00000097893.8	2	14	14	1	0	5	4	0
ENSMUSG00000025915.14	4	17	192	44	10	67	109	28
ENSMUSG00000046334.4	5	6	0	0	3	1	0	0
ENSMUSG00000088916.1	0	0	0	0	0	0	0	0
ENSMUSG00000046101.16	0	0	31	0	0	0	0	0
ENSMUSG00000098234.7	100	448	396	182	328	134	250	609
ENSMUSG00000093178.1	0	0	0	6	10	4	11	44
ENSMUSG00000099032.2	0	0	0	0	0	0	0	0
ENSMUSG00000104025.1	0	0	0	0	0	0	0	0
ENSMUSG00000025916.10	0	0	0	0	0	0	0	0
ENSMUSG00000087199.1	0	0	0	0	0	0	0	0
ENSMUSG00000095780.1	0	0	0	0	0	0	0	0
ENSMUSG00000025917.9	341	31	547	285	1114	222	526	891
ENSMUSG00000056763.16	2	2	220	13	264	54	313	210
ENSMUSG00000102356.1	0	0	0	0	0	0	0	0
ENSMUSG00000067851.11	147	49	362	109	315	44	182	466
ENSMUSG00000088153.1	0	0	0	0	3	0	0	0
ENSMUSG00000102556.1	0	0	47	24	0	0	0	0
ENSMUSG00000042501.12	0	0	0	0	0	0	0	0
ENSMUSG00000103810.1	0	0	0	0	0	0	0	0
ENSMUSG00000083422.1	0	0	0	0	0	0	0	0
ENSMUSG00000094979.1	0	0	0	0	0	0	0	0
ENSMUSG00000081417.1	0	0	0	0	0	0	0	0
ENSMUSG00000103448.1	0	0	0	0	0	0	0	0
ENSMUSG00000100212.1	0	0	0	0	0	0	0	0
ENSMUSG00000100648.1	2	1	1	0	2	0	5	4
ENSMUSG00000088585.1	0	0	0	0	0	0	0	0
ENSMUSG00000048960.13	64	1	1	45	1	12	8	8
ENSMUSG00000077318.1	0	0	0	0	0	0	0	0
ENSMUSG00000101827.1	0	0	0	0	0	0	0	0
ENSMUSG00000103494.1	0	0	0	0	0	0	0	0
ENSMUSG00000057715.13	0	0	0	0	0	0	0	0
ENSMUSG00000103825.1	0	0	0	0	0	0	0	0
ENSMUSG00000099845.1	0	0	0	0	0	0	0	0
ENSMUSG00000103561.1	0	0	0	0	0	0	0	0
ENSMUSG00000101610.1	27	7	48	17	47	17	48	61
ENSMUSG00000093864.1	0	0	0	0	0	0	0	0
ENSMUSG00000098555.1	0	0	0	0	0	0	0	0
ENSMUSG00000097628.1	0	0	0	0	0	0	0	0
ENSMUSG00000098163.1	0	0	0	0	0	0	0	0
ENSMUSG00000097171.1	0	0	0	0	0	0	0	0
ENSMUSG00000101314.1	0	0	0	0	0	0	0	0
ENSMUSG00000016918.15	0	0	0	0	0	0	0	0
ENSMUSG00000025938.16	0	0	0	0	0	0	0	0
ENSMUSG00000104518.1	0	0	0	0	0	0	0	0
ENSMUSG00000069620.6	0	0	0	0	0	0	0	0
ENSMUSG00000099498.1	0	0	0	0	0	0	0	0
ENSMUSG00000042414.7	0	0	0	0	0	0	0	0
ENSMUSG00000005886.14	233	47	205	30	388	165	307	217
ENSMUSG00000103506.1	1	0	0	0	0	0	0	118
ENSMUSG00000103495.1	0	0	0	0	0	0	0	0
ENSMUSG00000099183.1	0	0	0	0	0	0	0	0
ENSMUSG00000102639.1	0	0	0	0	1	17	0	0
ENSMUSG00000104170.1	0	0	0	0	0	0	11	0
ENSMUSG00000087782.1	0	0	0	0	0	0	0	0
ENSMUSG00000103085.1	0	1	22	30	13	9	72	2
ENSMUSG00000102664.1	0	28	106	1	94	4	1	0
ENSMUSG00000101476.1	0	0	0	0	0	0	0	0
ENSMUSG00000101171.1	1	0	0	0	0	0	0	0
ENSMUSG00000025935.10	337	530	1119	179	1218	165	304	1063
ENSMUSG00000025937.6	1	116	33	79	63	43	79	11
ENSMUSG00000102982.1	38	1	0	0	0	42	1	131
ENSMUSG00000067813.3	0	0	0	0	0	0	0	0
ENSMUSG00000077368.1	0	0	0	0	0	0	0	0
ENSMUSG00000097711.1	1	4	1	3	6	4	7	7
ENSMUSG00000102166.1	0	0	0	0	0	0	0	0
ENSMUSG00000089358.1	0	0	0	0	0	0	0	0
ENSMUSG00000104209.1	0	0	0	0	0	0	0	0
ENSMUSG00000025932.14	174	1	198	73	5	48	21	84
ENSMUSG00000095853.1	0	0	0	0	0	0	0	0
ENSMUSG00000102588.1	0	0	0	0	0	0	2	0
ENSMUSG00000054493.2	0	0	0	0	0	0	0	0
ENSMUSG00000025930.6	0	0	0	0	0	0	0	0
ENSMUSG00000103492.1	0	0	0	0	0	0	0	0
ENSMUSG00000081201.1	1	1	4	0	0	0	2	2
ENSMUSG00000082193.1	72	183	74	63	95	28	110	153
ENSMUSG00000032769.5	0	0	0	0	0	0	35	2
ENSMUSG00000088159.1	0	0	0	0	0	0	0	0
ENSMUSG00000073737.3	0	2	2	0	0	2	3	6
ENSMUSG00000092083.4	0	0	0	0	0	0	0	0
ENSMUSG00000102937.1	0	0	0	0	0	0	0	0
ENSMUSG00000104149.1	0	0	0	0	0	0	0	0
ENSMUSG00000088829.1	0	0	0	0	0	0	0	0
ENSMUSG00000077377.1	0	0	0	0	0	0	0	0
ENSMUSG00000101652.1	0	0	0	0	0	0	0	0
ENSMUSG00000100814.1	0	0	0	0	0	0	0	0
ENSMUSG00000025925.14	1	13	285	137	317	17	155	163
ENSMUSG00000104379.1	0	0	0	0	0	0	0	0
ENSMUSG00000032719.4	0	0	0	0	0	0	0	0
ENSMUSG00000088943.1	0	0	0	0	0	0	0	0
ENSMUSG00000100652.1	0	0	0	0	0	0	0	0
ENSMUSG00000067795.13	0	0	0	0	0	0	0	0
ENSMUSG00000043716.13	5264	7291	9246	4395	10120	3739	9234	11304
ENSMUSG00000025921.7	133	2	4	0	104	0	130	84
ENSMUSG00000104165.1	0	0	0	0	0	0	0	0
ENSMUSG00000100868.1	0	0	0	0	0	0	0	0
ENSMUSG00000025920.19	2	39	211	3	76	15	2	32
ENSMUSG00000089982.7	0	0	0	0	0	0	0	0
ENSMUSG00000025939.19	35	2	110	50	61	82	99	146
ENSMUSG00000102457.1	0	0	0	0	0	0	0	0
ENSMUSG00000079658.9	368	215	509	283	1339	327	285	825
ENSMUSG00000097744.1	0	0	0	0	0	0	0	0
ENSMUSG00000100959.1	0	0	0	0	0	0	0	0
ENSMUSG00000025940.6	318	294	1034	185	695	84	372	557
ENSMUSG00000025779.10	23	0	62	32	3	18	33	17
ENSMUSG00000100093.1	0	0	0	0	0	0	0	0
ENSMUSG00000091020.3	13	5	0	14	0	5	0	7
ENSMUSG00000101640.1	0	0	0	0	0	0	0	0
ENSMUSG00000104133.1	0	0	0	0	0	0	0	0
ENSMUSG00000042686.5	0	0	0	0	0	0	0	0
ENSMUSG00000100110.1	0	0	0	0	0	0	0	0
ENSMUSG00000025777.8	0	0	0	0	0	0	0	0
ENSMUSG00000099899.1	0	0	0	0	0	0	0	0
ENSMUSG00000100272.1	0	0	0	0	0	0	0	0
ENSMUSG00000100398.1	0	0	1	0	0	0	0	0
ENSMUSG00000101589.1	1	0	2	2	5	0	0	0
ENSMUSG00000102048.1	0	0	0	0	0	0	0	0
ENSMUSG00000089534.1	0	0	0	0	0	0	0	0
ENSMUSG00000067780.3	0	0	0	0	0	0	0	2
ENSMUSG00000100053.1	0	0	0	0	0	0	0	0
ENSMUSG00000085125.7	96	1	92	3	0	0	92	4
ENSMUSG00000025776.13	1	1	231	31	228	75	1	173
ENSMUSG00000099895.1	0	177	0	0	0	0	0	0
ENSMUSG00000100554.1	1	0	1	1	0	0	0	1
ENSMUSG00000099473.1	0	0	0	0	0	0	0	0
ENSMUSG00000099591.1	0	0	0	0	0	0	0	0
ENSMUSG00000109887.1	0	0	0	0	0	0	0	0
ENSMUSG00000102001.1	0	0	0	0	0	0	0	0
ENSMUSG00000101717.2	0	0	0	0	0	0	0	0
ENSMUSG00000025774.14	0	0	0	0	0	0	0	0
ENSMUSG00000070977.4	0	0	0	0	0	0	0	0
ENSMUSG00000073735.1	0	0	0	0	0	0	0	0
ENSMUSG00000067773.6	0	0	0	0	0	0	0	0
ENSMUSG00000101685.1	0	0	0	0	0	0	0	0
ENSMUSG00000101306.1	0	0	0	0	0	0	0	0
ENSMUSG00000088800.1	0	0	0	0	0	0	0	0
ENSMUSG00000101644.1	0	0	0	0	0	0	0	0
ENSMUSG00000099433.1	0	0	0	0	0	0	0	0
