X1	deg_anno	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig
ENSMUSG00000029408	Abcb9	80.3831491151085	-24.5810698814939	2.99741663534093	-8.20075180462792	2.38888289977095e-16	3.02217575650023e-12	down
ENSMUSG00000037049	Smpd1	141.580575723339	6.42054834398965	0.824463767866665	7.78754457652286	6.83239392637571e-15	2.88122051875264e-11	up
ENSMUSG00000025017	Pik3ap1	111.789796366366	6.8561103707647	0.876386662345125	7.82315690704195	5.15148285541099e-15	2.88122051875264e-11	up
ENSMUSG00000018983	E2f2	97.6360387331807	7.63484406819053	1.0049858254082	7.59696691750797	3.0315199509337e-14	9.58793972481555e-11	up
ENSMUSG00000032125	Robo4	78.6020577279256	-7.69503220647642	1.0231181039836	-7.52115730971347	5.42934749832571e-14	1.37373350402637e-10	down
ENSMUSG00000032589	Bsn	93.6518523580214	7.63411352751453	1.03676150912024	7.36342298624932	1.79253230860432e-13	3.77955437269222e-10	up
ENSMUSG00000039699	Batf2	58.3186116479954	6.83421718086656	0.933973744214019	7.31735471495279	2.52906706441041e-13	4.57074677597944e-10	up
ENSMUSG00000071547	Nt5dc2	145.018317654286	6.82195858285578	0.976076205778069	6.98916595084676	2.76525181214996e-12	4.37290008443864e-9	up
ENSMUSG00000041801	Phlda3	52.0356483880105	8.36008359226515	1.26589006389775	6.60411502601102	3.9989894773857e-11	5.62124620871183e-8	up
ENSMUSG00000017146	Brca1	55.7996252772451	7.7790406178855	1.20470371827649	6.45722304984213	1.06641665251464e-10	1.34912370709627e-7	up
ENSMUSG00000045569	Mc2r	32.0769863421646	8.38900947326433	1.33014895684576	6.306819570913	2.84827539272361e-10	3.27577563575876e-7	up
ENSMUSG00000069917	Hba-a2	2292.05886905669	7.24669842601259	1.15849999776361	6.25524250323847	3.96898695266791e-10	4.18430449485015e-7	up
ENSMUSG00000023965	Fbxl17	36.718349925289	7.85637761298242	1.27084071031714	6.18203174418439	6.32817961477479e-10	6.15829233127045e-7	up
ENSMUSG00000052305	Hbb-b1	4386.76452981484	6.95721966423549	1.14033611838377	6.10102543633904	1.05390133313382e-9	9.52350411819712e-7	up
ENSMUSG00000034118	Tpst1	38.030677621449	7.22849172292924	1.19857406994911	6.0309094816611	1.63039495493797e-9	1.37507510499468e-6	up
ENSMUSG00000050350	Gpr18	134.261485488994	-10.1402164330007	1.72461110546566	-5.87971189612791	4.1098117838826e-9	3.24957680486867e-6	down
ENSMUSG00000018569	Cldn7	21.0441219370145	7.78053859360008	1.33644551820405	5.82181502172702	5.82119575203185e-9	4.31932627873067e-6	up
ENSMUSG00000073599	Ecscr	93.182139262153	-10.3368348609628	1.77830462554414	-5.81274699085927	6.14559110087361e-9	4.31932627873067e-6	down
ENSMUSG00000035458	Tnni3	43.4089646796103	-7.28354022227042	1.25675664798081	-5.79550562471472	6.81156449762945e-9	4.53542644523738e-6	down
ENSMUSG00000054293	P2ry10b	25.2199101128593	-8.45246575422257	1.4823829926941	-5.70194463635943	1.1844830239194e-8	7.49244736780214e-6	down
