	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig
ENSMUSG00000112530	0.378637196356375	2.03745701401776	3.46463960374774	0.588071847881037	0.556484068350963	NA	NA
ENSMUSG00000112575	2.75030565768349	-0.927634682531193	1.37349699814232	-0.675381659942347	0.499433314502071	NA	none
ENSMUSG00000112755	0.50581220784213	-0.584209121283574	3.48474748057196	-0.167647476478751	0.866860618911155	NA	none
ENSMUSG00000038122	16.8750245742618	6.73676764971597	3.12304537795927	2.15711487808034	NA	NA	NA
ENSMUSG00000047669	3.54940866361449	4.44048573447807	3.39312872357212	1.30866999051051	NA	NA	NA
ENSMUSG00000045048	0.0642198761256268	0.31406437078676	3.5338115409304	0.0888741142953173	0.92918195592663	NA	none
ENSMUSG00000093552	0.136071085563102	-1.12860814961251	3.5338115409304	-0.319374176166556	0.749442790703099	NA	NA
ENSMUSG00000019874	4.46124033703812	5.54844432142176	3.36863718383663	1.64708872420107	NA	NA	NA
ENSMUSG00000112424	0.136071085563102	-1.12860814961251	3.5338115409304	-0.319374176166556	0.749442790703099	NA	NA
ENSMUSG00000069622	0.0642198761256268	0.31406437078676	3.5338115409304	0.0888741142953173	0.92918195592663	NA	none
ENSMUSG00000009646	0.0875687910819902	-1.12860814961251	3.5338115409304	-0.319374176166556	0.749442790703099	NA	NA
ENSMUSG00000112673	2.1235156036986	-0.0241561309769106	1.70310245307597	-0.0141836041239223	0.988683500686341	NA	none
ENSMUSG00000057337	16.7829526032432	0.370574231287977	2.8853680764609	0.128432221286136	NA	NA	none
ENSMUSG00000077090	1.11701513216904	3.55458157068468	3.4128319513416	1.04153430973575	0.297627638252933	NA	NA
ENSMUSG00000098055	0.469516981509074	-0.417538700668729	3.48348785422279	-0.119862252472784	0.904592266999845	NA	none
ENSMUSG00000059901	27.5739280748286	-23.1241734500934	3.38486136624377	-6.83164565636394	NA	NA	NA
ENSMUSG00000112058	6.2173841668213	-6.43527070396252	3.38994677877694	-1.89833974511078	NA	NA	NA
ENSMUSG00000112255	0.0930845943474198	0.31406437078676	3.5338115409304	0.0888741142953173	0.92918195592663	NA	none
ENSMUSG00000020083	12.4673028838263	-22.0524371937239	3.38666424861135	-6.51155106466966	NA	NA	NA
ENSMUSG00000037031	0.45436463562765	2.28510579976836	3.45314725151701	0.661745831650963	0.508134126755003	NA	NA
ENSMUSG00000097129	1.05082549298388	-3.88996184521889	3.4214966162552	-1.13691822073944	0.255572474333049	NA	NA
ENSMUSG00000088674	0.408213256689306	-2.49799213631423	3.48220746372079	-0.717358791036846	0.473152739909953	NA	NA
ENSMUSG00000071253	12.9051706570052	0.0318511492946829	2.76803920599751	0.0115067551159214	NA	NA	none
ENSMUSG00000112411	4.02816438977155	-5.81134596118248	3.39349609378493	-1.71249525579999	NA	NA	NA
ENSMUSG00000112759	3.08776422102913	-0.100740280456455	3.27573732703804	-0.0307534672041441	0.975466150640876	NA	none
ENSMUSG00000096991	0.0757274392712749	0.31406437078676	3.5338115409304	0.0888741142953173	0.92918195592663	NA	none
ENSMUSG00000048185	0.168500087111718	-1.12860814961251	3.5338115409304	-0.319374176166556	0.749442790703098	NA	NA
ENSMUSG00000112247	0.168500087111718	-1.12860814961251	3.5338115409304	-0.319374176166556	0.749442790703098	NA	NA
ENSMUSG00000037846	4.49539132879388	5.5616008178593	3.39077501150391	1.64021523073351	NA	NA	NA
ENSMUSG00000060044	0.283347792814234	-2.00545687135499	3.51563284713392	-0.570439792366236	0.568379446918569	NA	NA
ENSMUSG00000019944	16.9911062851009	-0.020354320960191	2.40699499601801	-0.00845632043018951	NA	NA	none
ENSMUSG00000090622	3.53850182934607	-5.61224656638192	3.39499050605918	-1.65309639492821	0.0983112469307388	NA	NA
ENSMUSG00000047692	0.0642198761256268	0.31406437078676	3.5338115409304	0.0888741142953173	0.92918195592663	NA	none
ENSMUSG00000112748	0.200290961688729	-0.407269637369532	3.5338115409304	-0.115249393651113	0.908247449000323	NA	none
ENSMUSG00000112813	1.27506506766405	-4.14167170932331	3.41543293208286	-1.21263447172935	0.225269603265578	NA	NA
ENSMUSG00000111965	0.211798524834377	-0.407269637369532	3.5338115409304	-0.115249393651113	0.908247449000323	NA	none
ENSMUSG00000112714	1.18704355266614	-4.03467047013052	3.41788374980615	-1.18045865964849	0.237817843295812	NA	NA
ENSMUSG00000053830	0.834997036238811	0.244446188867712	2.7309035610347	0.0895111026092385	0.928675730397468	NA	none
ENSMUSG00000093548	2.01970261050172	-1.63504689568007	1.80210146412408	-0.907300131668666	0.364248104581937	NA	NA
ENSMUSG00000112136	2.54863920528417	4.74100587562457	3.39641382089138	1.39588581534517	0.162748882791911	NA	NA
ENSMUSG00000020175	40.12687689028	-1.54187633693925	2.20566588578037	-0.699052538682091	NA	NA	NA
ENSMUSG00000020178	26.5113207268305	0.748508367484447	2.54312886304377	0.294325772618768	NA	NA	none
ENSMUSG00000112764	6.15127973604941	6.01144041839548	3.38879636289094	1.77391609723849	NA	NA	NA
ENSMUSG00000006344	51.4044780803547	1.04965002100037	1.8716380143855	0.560818925952941	NA	NA	NA
ENSMUSG00000009092	0.272142171126204	-1.96663031289686	3.51796559411575	-0.559024885344616	0.576144736717395	NA	NA
ENSMUSG00000050157	0.3029097570851	1.77443012142865	3.47395060466777	0.510781621087083	0.609503979940618	NA	NA
ENSMUSG00000082234	0.18616918869484	1.18064339523231	3.50183449917699	0.337149969682972	0.73600384989561	NA	NA
ENSMUSG00000033255	108.388477062915	-2.99470593634538	2.26033716268616	-1.32489346535651	NA	NA	NA
ENSMUSG00000033208	1.65508676664092	-0.0949253128011344	3.32099353917854	-0.0285834078510778	0.977196845294914	NA	none
ENSMUSG00000001435	19.1130023436715	-7.31627921250391	2.92362534501561	-2.50246811718785	NA	NA	NA
ENSMUSG00000112612	0.692934190795491	1.76782347145311	3.36584939897552	0.525223580113593	0.599427774648786	NA	NA
ENSMUSG00000078444	3.44335586712581	2.84729252147843	3.33704694945606	0.853237177841488	NA	NA	NA
ENSMUSG00000094012	0.0875687910819902	-1.12860814961251	3.5338115409304	-0.319374176166556	0.749442790703099	NA	NA
ENSMUSG00000009292	3.79448483909642	0.140074542453835	2.79073924834203	0.0501926299768252	0.959968884579565	NA	none
ENSMUSG00000000730	6.17273944137202	5.26414182885159	3.38889463964286	1.55335069059756	NA	NA	NA
ENSMUSG00000000732	12.6911611213286	-4.05733535066365	3.27732326824663	-1.23800279025704	NA	NA	NA
ENSMUSG00000000374	13.5318104952118	1.4162298234618	2.88782679059617	0.490413700736337	NA	NA	NA
ENSMUSG00000112300	8.1449988708453	4.69974691704093	3.36449361170439	1.39686605457994	NA	NA	NA
ENSMUSG00000098376	0.128439752251254	0.84600778781848	3.51987690808704	0.240351526462402	0.810057753110279	NA	none
ENSMUSG00000112313	0.0642198761256268	0.31406437078676	3.5338115409304	0.0888741142953173	0.92918195592663	NA	none
ENSMUSG00000112017	0.0642198761256268	0.31406437078676	3.5338115409304	0.0888741142953173	0.92918195592663	NA	none
ENSMUSG00000091381	0.0757274392712749	0.31406437078676	3.5338115409304	0.0888741142953173	0.92918195592663	NA	none
ENSMUSG00000042570	33.1564733635406	1.88975123222931	2.07898527470464	0.908977689848136	NA	NA	NA
ENSMUSG00000020310	0.0875687910819902	-1.12860814961251	3.5338115409304	-0.319374176166556	0.749442790703099	NA	NA
ENSMUSG00000020325	3.54657650144733	5.19914790440627	3.39288059907103	1.53236984108129	0.125431195362579	NA	NA
ENSMUSG00000057729	1616.92008481335	0.267957779545732	0.87477721108643	0.306315455123644	NA	NA	none
ENSMUSG00000020125	1286.74128393567	6.91620833653694	1.5255457890725	4.53359603236939	NA	NA	NA
ENSMUSG00000035640	4.04400209068123	-5.80558973759707	3.39353647912682	-1.71077864443375	0.0871219832980335	NA	NA
ENSMUSG00000020135	10.2097784676455	0.212003452844576	3.24133468673929	0.0654062209965262	NA	NA	none
ENSMUSG00000035504	19.4503849317988	-1.05607281234092	3.2347497822425	-0.326477435175462	NA	NA	NA
ENSMUSG00000048696	6.571503397357	-6.50791308010444	3.38962439371734	-1.91995109905594	NA	NA	NA
ENSMUSG00000113949	2.04209119549238	-3.96619168240879	3.40537906156566	-1.16468434517985	0.244146788076381	NA	NA
ENSMUSG00000075558	0.18616918869484	1.18064339523231	3.50183449917699	0.337149969682972	0.73600384989561	NA	NA
ENSMUSG00000020216	2.80151500826242	4.07242822549503	3.39594814868808	1.19920212181929	NA	NA	NA
ENSMUSG00000046822	30.1139496887098	-0.309463985046099	3.23111381145359	-0.0957762564565561	NA	NA	none
ENSMUSG00000035041	0.18616918869484	1.18064339523231	3.50183449917699	0.337149969682972	0.73600384989561	NA	NA
ENSMUSG00000064441	0.168500087111718	-1.12860814961251	3.5338115409304	-0.319374176166556	0.749442790703098	NA	NA
ENSMUSG00000034917	10.9733492742976	4.17443917987951	2.35129062126181	1.77538205704206	NA	NA	NA
ENSMUSG00000034881	30.7309830457199	-1.0400736132677	2.37003767548877	-0.438842649644045	NA	NA	NA
ENSMUSG00000034872	1.13339117125694	-3.97129484463181	3.41942216313304	-1.16139354989532	0.245481890850339	NA	NA
ENSMUSG00000113262	2.93517788723169	-1.53690895971851	3.29126317791578	-0.466966291249846	0.640523995372702	NA	NA
ENSMUSG00000114004	1.34800069689374	-4.21100907881044	3.41393794260991	-1.23347557852536	0.217398382643351	NA	NA
ENSMUSG00000034818	0.0757274392712749	0.31406437078676	3.5338115409304	0.0888741142953173	0.92918195592663	NA	none
ENSMUSG00000082828	0.0642198761256268	0.31406437078676	3.5338115409304	0.0888741142953173	0.92918195592663	NA	none
ENSMUSG00000112350	2.52750130667577	-5.12459875384543	3.39964680068596	-1.50739151867524	0.131710331457389	NA	NA
ENSMUSG00000054708	30.6694831443788	-1.4292432400146	2.19186384777832	-0.652067527580821	NA	NA	NA
ENSMUSG00000096795	4.00447859220411	0.120102214370189	2.3225254417721	0.0517119047266712	0.958758251332506	NA	none
ENSMUSG00000094622	3.84996660422238	-3.56941765389198	2.60595474765187	-1.36971590051909	0.17077560322465	NA	NA
ENSMUSG00000112640	3.78930147940292	-0.127785170327025	3.26714475132988	-0.0391121851197472	0.968800946082933	NA	none
ENSMUSG00000112311	0.136071085563102	-1.12860814961251	3.5338115409304	-0.319374176166556	0.749442790703099	NA	NA
ENSMUSG00000111985	0.244227526382993	-0.407269637369532	3.5338115409304	-0.115249393651113	0.908247449000323	NA	none
ENSMUSG00000112922	7.68033861518346	-0.517688047347864	3.24643243003423	-0.159463675435994	NA	NA	none
ENSMUSG00000109864	0.577978885130641	2.63610253409053	3.43842550940202	0.766659776948019	0.443283824488602	NA	NA
ENSMUSG00000071151	2.59487406878397	0.284069119263434	1.82632039973858	0.155541776406865	0.876394221868586	NA	none
ENSMUSG00000088270	4.21820365245616	-5.87102477762314	3.39308671195441	-1.73029022716648	NA	NA	NA
ENSMUSG00000020256	0.544284342252408	-2.91415219676269	3.45780237327727	-0.842775810232521	0.399353839139175	NA	NA
ENSMUSG00000020032	8.30033621934921	-21.5002244972783	3.38831410374184	-6.34540477623808	NA	NA	NA
ENSMUSG00000111583	6.65522812223125	-6.53317391917549	3.38951602714385	-1.92746512093664	NA	NA	NA
ENSMUSG00000111514	0.530092074898925	2.50309926979794	3.44360703822934	0.726882957901318	0.467297657870052	NA	NA
ENSMUSG00000112326	0.256068878193708	-1.77232231362062	3.52278031051301	-0.503103275651759	0.614891663816731	NA	NA
ENSMUSG00000097692	9.49358587809416	6.63612112038173	3.38689236834654	1.95935400321606	NA	NA	NA
ENSMUSG00000112586	0.203146582770583	0.31406437078676	3.5338115409304	0.0888741142953174	0.92918195592663	NA	none
ENSMUSG00000112666	0.203146582770583	0.31406437078676	3.5338115409304	0.0888741142953174	0.92918195592663	NA	none
ENSMUSG00000054027	25.4013482635347	-0.272236034123998	2.24699102588989	-0.121155817262858	NA	NA	none
ENSMUSG00000035459	0.136071085563102	-1.12860814961251	3.5338115409304	-0.319374176166556	0.749442790703099	NA	NA
ENSMUSG00000089666	0.0642198761256268	0.31406437078676	3.5338115409304	0.0888741142953173	0.92918195592663	NA	none
ENSMUSG00000112222	3.93965614566749	1.25404900819998	1.39698728812136	0.897681044676081	0.369355617894813	NA	NA
ENSMUSG00000020057	8.51672608105033	4.26478846792683	3.3300662988987	1.28069175960168	NA	NA	NA
ENSMUSG00000087429	1.68500087111718	-4.5357872339596	3.40780757361208	-1.33099863650808	0.18318945957702	NA	NA
ENSMUSG00000069540	0.873116507030612	3.20367186110612	3.42080937551423	0.9365245207867	0.349003193589557	NA	NA
ENSMUSG00000047638	0.141673896407117	-1.12860814961251	3.5338115409304	-0.319374176166556	0.749442790703098	NA	NA
ENSMUSG00000112272	0.518106283568771	-1.82825569778163	3.47879897727293	-0.525542208597181	0.599206319330177	NA	NA
ENSMUSG00000097383	1.49810524627407	-4.39160609599248	3.41036149042881	-1.28772451492827	0.197841876754101	NA	NA
ENSMUSG00000112140	0.467790400498858	1.13043224214647	3.47104449297914	0.325674950128986	0.744670298726785	NA	NA
ENSMUSG00000077167	1.47705715088942	3.96687176000607	3.40558227828934	1.16481454149411	0.244094071421592	NA	NA
ENSMUSG00000110847	0.42944664159925	-0.547669680738054	3.49594906549253	-0.156658369580935	0.875514098138466	NA	none
ENSMUSG00000111104	3.04967562267279	-1.73049165697194	1.76793872844249	-0.97881879565841	0.32766952100574	NA	NA
ENSMUSG00000019988	107.828308109669	0.682852953613936	0.993558169509971	0.687280296784961	NA	NA	none
ENSMUSG00000020014	8.92656200521274	-6.20155090269352	3.24576383809163	-1.91065992846225	NA	NA	NA
ENSMUSG00000098679	0.0757274392712749	0.31406437078676	3.5338115409304	0.0888741142953173	0.92918195592663	NA	none
ENSMUSG00000015890	15.9550451886791	-22.3808593884395	3.38594502082974	-6.60992994592539	NA	NA	NA
